year_month,province,monthly_rainfall_mm
2021-09,Midlands,2.72661576
2021-10,Midlands,23.5000332
2021-11,Midlands,59.12695827
2021-12,Midlands,133.9362787
2022-01,Midlands,265.7751873
2022-02,Midlands,24.55593307
2022-03,Midlands,43.54645427
2022-04,Midlands,61.77457827
2022-05,Midlands,3.833580753
2022-06,Midlands,3.33685384
2022-07,Midlands,0.878428832
2022-08,Midlands,1.441413921
2022-09,Midlands,2.477314713
2022-10,Midlands,24.27132253
2022-11,Midlands,108.8166514
2022-12,Midlands,76.16258167
2023-01,Midlands,124.7827027
2023-02,Midlands,121.362402
2023-03,Midlands,27.89094513
2023-04,Midlands,8.688030187
2023-05,Midlands,3.730980753
2023-06,Midlands,3.261434675
2023-07,Midlands,0.865550179
2023-08,Midlands,1.626627832
2023-09,Midlands,4.471858047
2023-10,Midlands,50.54440173
2023-11,Midlands,28.7603568
2023-12,Midlands,217.4331193
2024-01,Midlands,119.5456692
2024-02,Midlands,13.92033007
2024-03,Midlands,29.71067013
2024-04,Midlands,22.30144667
2024-05,Midlands,3.5844052
2024-06,Midlands,4.272533457
2024-07,Midlands,0.695185457
2024-08,Midlands,1.515263496
2024-09,Midlands,2.609712233
2024-10,Midlands,22.47563743
2024-11,Midlands,102.1592161
2024-12,Midlands,159.120209
2025-01,Midlands,263.777
2025-02,Midlands,231.399608
2025-03,Midlands,26.94365913
2025-04,Midlands,46.03488787
2025-05,Midlands,4.555787927
2025-06,Midlands,2.019998876
2025-07,Midlands,0.898321424
2025-08,Midlands,1.292604389
2025-09,Midlands,2.867669807
2025-10,Midlands,9.837391167
2025-11,Midlands,148.8500437
2025-12,Midlands,201.984992
